id,band_name,fans,formed,origin,split,style
173,Leprous,444,2001,Norway,2001,Progressive
174,Between The Buried And Me,441,2000,USA,-,Progressive metalcore
175,Death Angel,441,1982,USA,1982,Bay area thrash
176,W.A.S.P.,440,1982,USA,-,Heavy
177,As I Lay Dying,424,2001,USA,2001,Melodic metalcore
178,Black Label Society,424,1998,USA,-,Heavy
179,Borknagar,420,1995,Norway,1995,"Melodic black,Progressive black"
180,Isis,420,1997,USA,2010,"Post-metal,Atmospheric sludge"
181,Soulfly,417,1997,USA,1997,"Groove thrash,Nu"
182,Atheist,411,1984,USA,-,Technical death
183,DevilDriver,411,2002,USA,2002,"Nu,Melodic death,Groove thrash"
184,Shining,410,1996,Sweden,-,"Depressive black,Progressive black"
185,Strapping Young Lad,409,1995,Canada,1995,"Industrial,Thrash"
186,The Gathering,409,1989,The Netherlands,-,"Doom,Death doom,Atmospheric gothic,Experimental rock"
187,Anaal Nathrakh,399,1998,United Kingdom,1998,"Black,Grindcore"
188,Ghost Brigade,398,2005,Finland,-,"Post-metal,Alternative"
189,Delain,395,2002,The Netherlands,2002,Symphonic
190,Watain,391,1998,Sweden,-,Black
191,Saxon,387,1976,United Kingdom,1976,"New wave of british heavy,Heavy"
192,Vektor,387,2002,USA,-,"Technical thrash,Progressive thrash"
193,Immolation,386,1986,USA,1986,Death
194,Firewind,382,1998,Greece,-,"Power,Heavy"
195,Mors Principium Est,381,1999,Finland,1999,Gothenburg
196,Samael,381,1987,Switzerland,-,"Black,Electro industrial"
197,Bullet For My Valentine,379,1998,United Kingdom,1998,Melodic metalcore
198,Entombed,379,1987,Sweden,-,"Death,Death ',N',Roll"
199,Steven Wilson,375,2003,United Kingdom,2003,Progressive rock
200,Xandria,372,1994,Germany,-,"Gothic,Symphonic"
201,Drudkh,369,2002,Ukraine,2002,"Atmospheric black,Pagan black"
202,Animals As Leaders,367,2007,USA,-,"Progressive,Instrumental,Djent"
203,Queensrÿche,367,1981,USA,1981,"Heavy,Progressive heavy,Progressive rock"
204,Powerwolf,364,2003,Germany,-,Power
205,Belphegor,363,1991,Austria,1991,"Black,Death"
206,Alice Cooper,362,1964,USA,-,"Hard rock,Glam rock,New,Wave ,Heavy"
207,Before The Dawn,359,1999,Finland,1999,"Gothic,Melodic death"
208,The Faceless,358,2004,USA,-,"Deathcore,Progressive death,Technical death"
209,Deftones,357,1988,USA,1988,"Nu,Alternative"
210,Primal Fear,354,1997,Germany,-,Power
211,Theatre Of Tragedy,354,1993,Norway,1993,"Gothic,Gothic industrial"
212,KISS,352,1972,USA,-,"Hard rock,Symphonic rock,Glam,Heavy"
213,Down,351,1991,USA,1991,"Heavy,Sludge,Stoner"
214,Skeletonwitch,349,2003,USA,-,Blackened thrash
215,Rage Against The Machine,344,1991,USA,1991,"Alternative,Nu"
216,Wolves In The Throne Room,343,2004,USA,-,Atmospheric black
217,Five Finger Death Punch,342,2005,USA,2005,Groove metal
218,Electric Wizard,341,1993,United Kingdom,-,"Doom,Stoner"
219,Nine Inch Nails,341,1988,USA,1988,"Industrial rock,Industrial"
220,Novembers Doom,341,1989,USA,-,"Death doom,Melodic death"
221,Dethklok,337,2006,USA,2006,Melodic death
222,Faith No More,337,1981,USA,-,Alternative
223,Cryptopsy,334,1988,Canada,1988,"Brutal death,Technical death,Death"
224,Falkenbach,332,1989,Germany,-,"Black,Viking folk,Folk"
225,Graveworm,331,1992,Italy,1992,"Gothic,Symphonic black"
226,Taake,331,1993,Norway,-,Black
227,Grave Digger,328,1980,Germany,1980,Heavy
228,Rob Zombie,326,1998,USA,-,"Alternative,Industrial"
229,The Black Dahlia Murder,326,2001,USA,2001,"Melodic death,Metalcore"
230,Running Wild,324,1976,Germany,-,"Heavy,Speed"
231,Neurosis,322,1985,USA,1985,"Atmospheric sludge,Post-hardcore ,Post-metal"
232,Carach Angren,320,2003,The Netherlands,-,Symphonic black
233,Dark Moor,320,1994,Spain,1994,Symphonic power
234,Baroness,319,2003,USA,-,"Sludge,Stoner rock,Progressive rock"
235,King Crimson,319,1969,United Kingdom,1969,Progressive rock
236,Shape Of Despair,319,1995,Finland,-,Funeral doom
237,Bruce Dickinson,315,1989,United Kingdom,1989,Heavy
238,Demons And Wizards,315,1999,USA,-,"Heavy,Power"
239,Deathspell Omega,314,1998,France,1998,"Black,Avantgarde"
